epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.74608,3.4075,38.9841,0.98288,0,0,0,0,3.44775,19.7285,0.88092,0.00052,0.00052,0.00052
2,12.1196,3.52248,17.4418,0.97125,0,0,0,0,2.90426,116.708,0.84535,0.00104951,0.00104951,0.00104951
3,17.4542,3.36487,13.4411,0.95849,0.74229,0.05941,0.09804,0.01925,3.04721,6.18137,0.83431,0.00156832,0.00156832,0.00156832
4,22.7343,3.21779,10.9388,0.95246,0.90385,0.18622,0.25415,0.07061,2.59309,5.11548,0.85346,0.0019406,0.0019406,0.0019406
5,28.0199,3.13021,9.57402,0.91154,0.55794,0.10002,0.12382,0.02443,3.3551,5.12292,0.85413,0.0019208,0.0019208,0.0019208
6,33.2894,3.03701,7.2404,0.90612,0.55456,0.21782,0.24374,0.05427,3.02239,3.85137,0.86184,0.001901,0.001901,0.001901
7,38.5526,3.1377,6.60938,0.91295,0.4744,0.07921,0.17289,0.03412,2.93557,4.24568,0.86495,0.0018812,0.0018812,0.0018812
8,43.849,2.9939,5.31133,0.89997,0.50639,0.14851,0.16052,0.04617,2.71105,3.35384,0.86621,0.0018614,0.0018614,0.0018614
9,49.1019,3.1241,5.15037,0.92647,0.39582,0.33663,0.26425,0.06711,2.82132,2.90229,0.854,0.0018416,0.0018416,0.0018416
10,54.376,3.09579,4.25479,0.90511,0.41086,0.28713,0.23636,0.07261,2.52866,1.65585,0.73701,0.0018218,0.0018218,0.0018218
11,59.6649,2.90793,3.54805,0.89884,0.457,0.20002,0.17573,0.04744,3.24856,2.23409,0.8786,0.001802,0.001802,0.001802
12,64.9347,2.80564,3.11342,0.87888,0.77119,0.34653,0.39734,0.10165,2.82845,1.84362,0.82674,0.0017822,0.0017822,0.0017822
13,70.2022,2.80901,3.09524,0.86658,0.52146,0.35604,0.37216,0.11106,2.48534,1.79387,0.81356,0.0017624,0.0017624,0.0017624
14,75.4669,2.75134,2.50223,0.89273,0.44134,0.39893,0.37931,0.13181,2.4864,1.51777,0.81186,0.0017426,0.0017426,0.0017426
15,80.7645,2.76078,2.42016,0.88136,0.69717,0.41584,0.4396,0.1301,2.77383,1.69493,0.80682,0.0017228,0.0017228,0.0017228
16,86.0544,2.66292,2.17282,0.84836,0.42865,0.31683,0.28661,0.08322,2.82447,1.96027,0.80596,0.001703,0.001703,0.001703
17,91.2878,2.71321,2.15126,0.88149,0.59705,0.48413,0.49898,0.16388,2.44286,1.38777,0.81003,0.0016832,0.0016832,0.0016832
18,96.5868,2.72251,2.11189,0.87836,0.73353,0.41584,0.48572,0.14069,2.68767,1.3009,0.80412,0.0016634,0.0016634,0.0016634
19,101.857,2.5796,1.81356,0.86649,0.66503,0.50495,0.53556,0.16038,2.26837,1.20513,0.80769,0.0016436,0.0016436,0.0016436
20,107.145,2.56844,1.9013,0.86301,0.64346,0.50495,0.47833,0.16938,2.18266,1.26988,0.80411,0.0016238,0.0016238,0.0016238
21,112.448,2.68022,1.80797,0.88176,0.77205,0.50495,0.57232,0.15051,2.71474,1.20807,0.80963,0.001604,0.001604,0.001604
22,117.726,2.76087,1.70832,0.88971,0.41758,0.27723,0.26581,0.08161,2.51981,1.38459,0.8106,0.0015842,0.0015842,0.0015842
23,122.999,2.55863,1.64653,0.8785,0.66021,0.45545,0.45622,0.1458,2.25167,1.30536,0.80594,0.0015644,0.0015644,0.0015644
24,128.295,2.59748,1.68307,0.87476,0.66086,0.41584,0.42434,0.11851,2.40947,1.39147,0.82186,0.0015446,0.0015446,0.0015446
25,133.57,2.53403,1.64897,0.8494,0.71177,0.52475,0.55687,0.14983,2.34396,1.22056,0.80729,0.0015248,0.0015248,0.0015248
26,138.853,2.59126,1.6196,0.85483,0.57884,0.45545,0.45293,0.13221,2.08773,1.35021,0.79742,0.001505,0.001505,0.001505
27,144.139,2.39865,1.52791,0.84826,0.55932,0.48515,0.45447,0.15459,2.23876,1.27143,0.80105,0.0014852,0.0014852,0.0014852
28,149.419,2.51244,1.56737,0.86429,0.65894,0.50495,0.53212,0.18325,2.18366,1.16447,0.80453,0.0014654,0.0014654,0.0014654
29,154.722,2.52797,1.51669,0.85777,0.63519,0.49996,0.42499,0.14069,2.3544,1.10386,0.80586,0.0014456,0.0014456,0.0014456
30,160.025,2.4307,1.50302,0.85996,0.56641,0.55446,0.5129,0.17267,2.13272,1.24431,0.79281,0.0014258,0.0014258,0.0014258
31,165.329,2.48408,1.42323,0.85921,0.86227,0.43392,0.5275,0.18949,2.20661,1.20915,0.794,0.001406,0.001406,0.001406
32,170.645,2.37846,1.43217,0.8457,0.55377,0.47923,0.48273,0.15414,2.56993,1.30791,0.81324,0.0013862,0.0013862,0.0013862
33,175.997,2.39572,1.49379,0.83377,0.76462,0.51461,0.58582,0.20317,2.2356,1.18321,0.79175,0.0013664,0.0013664,0.0013664
34,181.359,2.31031,1.40569,0.84516,0.60262,0.47525,0.48001,0.15736,2.32579,1.26222,0.78994,0.0013466,0.0013466,0.0013466
35,186.567,2.35546,1.27674,0.83874,0.74458,0.47525,0.5157,0.16934,2.35148,1.26332,0.79742,0.0013268,0.0013268,0.0013268
36,191.813,2.40923,1.37332,0.85225,0.67957,0.49505,0.47578,0.16034,2.21407,1.24507,0.79674,0.001307,0.001307,0.001307
37,197.072,2.41962,1.3595,0.85626,0.73612,0.46535,0.48948,0.15095,2.31705,1.19781,0.8024,0.0012872,0.0012872,0.0012872
38,202.287,2.22114,1.27391,0.84129,0.76265,0.50495,0.56432,0.20308,2.3172,1.16161,0.80386,0.0012674,0.0012674,0.0012674
39,207.522,2.45788,1.32637,0.87015,0.75924,0.46535,0.53213,0.20221,2.3373,1.11977,0.80153,0.0012476,0.0012476,0.0012476
40,212.765,2.41038,1.3413,0.84759,0.68165,0.49505,0.58475,0.19679,2.29258,1.14579,0.79664,0.0012278,0.0012278,0.0012278
41,217.954,2.43769,1.35078,0.84231,0.76618,0.52475,0.60583,0.19032,2.29861,1.14193,0.79814,0.001208,0.001208,0.001208
42,223.169,2.38917,1.22985,0.86133,0.698,0.48515,0.5419,0.20695,2.37191,1.20935,0.80317,0.0011882,0.0011882,0.0011882
43,228.339,2.29398,1.23391,0.8323,0.7949,0.41584,0.52837,0.18511,2.28003,1.4371,0.79614,0.0011684,0.0011684,0.0011684
44,233.553,2.23368,1.11821,0.84303,0.79151,0.47525,0.61796,0.23244,1.88447,1.15088,0.79569,0.0011486,0.0011486,0.0011486
45,238.779,2.30514,1.23567,0.84474,0.83738,0.51485,0.63601,0.2319,2.26614,1.12625,0.79885,0.0011288,0.0011288,0.0011288
46,244.003,2.30389,1.21933,0.84683,0.80159,0.52475,0.65521,0.24758,2.1226,1.1741,0.79953,0.001109,0.001109,0.001109
47,249.273,2.2427,1.19068,0.83468,0.7157,0.51485,0.55184,0.20805,1.9675,1.0298,0.79074,0.0010892,0.0010892,0.0010892
48,254.485,2.20613,1.15941,0.83781,0.61255,0.46963,0.47705,0.17396,1.99617,1.05393,0.79281,0.0010694,0.0010694,0.0010694
49,259.68,2.34208,1.22851,0.85539,0.69767,0.53465,0.58321,0.19862,2.1364,1.13645,0.79286,0.0010496,0.0010496,0.0010496
50,264.889,2.34109,1.28149,0.84792,0.7775,0.50495,0.55695,0.17601,2.32429,1.11244,0.80491,0.0010298,0.0010298,0.0010298
51,270.086,2.40422,1.27978,0.85154,0.67508,0.40594,0.47344,0.16808,2.28393,1.14306,0.81084,0.00101,0.00101,0.00101
52,275.303,2.30079,1.1599,0.83429,0.74263,0.54284,0.60653,0.22563,2.09959,1.04563,0.80553,0.0009902,0.0009902,0.0009902
